epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.462,1.82769,1.85151,1.25986,0.75948,0.32314,0.41793,0.16721,2.07569,1.88826,1.30621,0.000659722,0.000659722,0.000659722
2,28.441,1.68559,1.30036,1.23849,0.57275,0.3394,0.34864,0.14158,2.12633,1.72693,1.38409,0.00130013,0.00130013,0.00130013
3,37.8459,1.67454,1.21029,1.21175,0.6083,0.35797,0.35614,0.15535,2.23075,1.62476,1.4521,0.00191413,0.00191413,0.00191413
4,47.2833,1.63718,1.19666,1.19962,0.67363,0.34376,0.36921,0.17476,2.06965,1.63999,1.4082,0.0018812,0.0018812,0.0018812
5,56.6043,1.59086,1.10355,1.19336,0.59032,0.38257,0.38663,0.16379,2.16084,1.46795,1.43459,0.0018416,0.0018416,0.0018416
6,65.94,1.54804,1.03289,1.17093,0.66419,0.36371,0.38878,0.18725,2.05217,1.62498,1.36184,0.001802,0.001802,0.001802
7,75.1854,1.51093,0.99995,1.15415,0.68031,0.3745,0.38803,0.19514,2.0178,1.62733,1.337,0.0017624,0.0017624,0.0017624
8,84.4363,1.50351,0.98251,1.15094,0.69295,0.37532,0.39988,0.18435,2.08668,1.51245,1.38584,0.0017228,0.0017228,0.0017228
9,93.7773,1.44686,0.93623,1.13435,0.70422,0.36836,0.39296,0.19464,2.10783,1.49171,1.43434,0.0016832,0.0016832,0.0016832
10,103.633,1.41736,0.92425,1.12758,0.68301,0.38175,0.41127,0.19999,1.99407,1.44395,1.32766,0.0016436,0.0016436,0.0016436
11,113.145,1.41069,0.92798,1.13041,0.65088,0.39104,0.40063,0.1954,2.05031,1.40112,1.3873,0.001604,0.001604,0.001604
12,122.688,1.37543,0.88655,1.11178,0.69208,0.37409,0.39275,0.19964,2.02138,1.53153,1.37771,0.0015644,0.0015644,0.0015644
13,132.073,1.3358,0.85112,1.09413,0.70438,0.37601,0.40081,0.20174,2.05231,1.62176,1.36016,0.0015248,0.0015248,0.0015248
14,142.253,1.33929,0.82575,1.07821,0.73125,0.36713,0.4013,0.19824,2.09109,1.53898,1.40815,0.0014852,0.0014852,0.0014852
15,151.946,1.33807,0.83754,1.0858,0.69748,0.35797,0.37317,0.19542,2.07751,1.80656,1.40403,0.0014456,0.0014456,0.0014456
16,162.223,1.28794,0.79201,1.07151,0.71294,0.39555,0.43136,0.21729,1.97807,1.34908,1.34363,0.001406,0.001406,0.001406
17,174.745,1.28884,0.79506,1.06909,0.719,0.39855,0.42283,0.22125,1.97455,1.41596,1.33618,0.0013664,0.0013664,0.0013664
18,185.357,1.26056,0.77999,1.05525,0.68689,0.39596,0.41402,0.21432,1.97615,1.42034,1.35064,0.0013268,0.0013268,0.0013268
19,197.338,1.25902,0.76382,1.05166,0.72624,0.37655,0.41154,0.21528,1.97803,1.49968,1.33911,0.0012872,0.0012872,0.0012872
20,209.476,1.21917,0.75414,1.04632,0.71588,0.38798,0.40988,0.21472,2.00633,1.48015,1.38494,0.0012476,0.0012476,0.0012476
21,222.043,1.22115,0.75698,1.0386,0.68937,0.36849,0.39693,0.20795,2.0108,1.5991,1.34297,0.001208,0.001208,0.001208
22,234.321,1.19594,0.73078,1.0238,0.72587,0.3636,0.39454,0.20551,2.09031,1.66627,1.40616,0.0011684,0.0011684,0.0011684
